b1,b2,b3,b4,b5,r1,r2,r3,r4,r5,win
59,80,84,110,202,1,14,81,432,950,1
7,64,68,91,236,13,43,59,81,799,0
80,111,142,266,804,12,34,84,202,950,0
34,51,68,518,950,14,22,64,147,910,1
21,34,99,126,421,13,43,81,110,121,1
91,111,150,236,910,34,51,62,84,99,1
1,51,59,110,432,80,114,142,555,804,1
5,43,81,134,799,58,59,111,804,893,0
43,56,68,110,142,64,81,432,799,910,0
5,41,78,84,202,4,64,111,236,799,1
7,12,64,126,145,14,43,81,234,711,1
4,15,201,254,266,54,57,64,134,804,1
18,64,164,517,799,22,69,84,234,518,0
13,63,80,89,150,3,81,203,432,517,1
7,14,64,84,236,43,59,115,150,800,1
5,34,51,517,526,8,22,59,147,910,1
22,59,147,526,893,5,13,34,201,236,1
56,84,126,202,432,14,236,268,350,950,0
8,76,98,202,902,22,67,80,147,893,1
61,68,81,432,950,76,79,89,202,799,0
7,64,67,81,555,34,56,518,804,893,0
117,203,804,897,910,5,34,51,67,518,1
80,117,126,142,523,2,13,64,201,236,0
14,51,64,99,245,53,61,202,887,950,0
34,51,64,432,777,14,164,202,236,876,1
5,34,42,432,893,4,10,43,64,202,1
9,111,126,136,142,15,76,83,133,432,0
37,61,81,126,887,13,14,40,104,202,0
5,34,69,91,236,4,7,76,81,83,0
68,84,111,254,804,15,76,107,201,268,1
117,121,246,804,893,8,69,76,89,777,0
41,76,96,126,432,13,58,60,236,497,1
5,14,236,267,893,43,76,81,126,887,0
13,22,39,147,950,34,61,67,76,235,0
80,163,412,523,799,111,150,154,360,800,1
56,84,110,111,126,22,150,201,203,893,0
7,110,498,555,799,14,62,84,236,902,0
4,30,164,236,267,3,76,117,150,804,1
13,24,236,267,799,61,64,117,150,222,1
35,61,68,202,254,64,81,84,98,497,0
80,117,142,804,887,9,13,24,51,432,0
13,41,64,81,432,59,61,117,126,523,0
34,43,81,91,517,51,59,103,126,432,1
61,64,68,81,518,5,24,51,245,432,0
59,60,61,202,421,80,81,143,150,432,0
68,78,103,145,254,34,59,81,526,897,1
59,157,236,267,893,34,42,64,84,432,1
43,58,61,202,799,34,59,145,420,518,1
56,68,117,800,804,38,43,51,799,893,1
34,43,51,107,166,59,61,150,202,518,0
80,107,150,526,800,59,115,157,236,555,1
34,69,107,246,350,24,91,110,136,432,0
15,64,98,163,432,81,92,107,136,201,1
1,3,81,246,799,64,105,110,236,267,0
64,67,268,432,523,5,34,84,111,901,1
53,126,143,800,804,14,64,103,236,267,1
18,30,107,234,950,3,34,114,203,236,1
8,51,104,117,142,1,34,201,236,421,0
68,101,110,111,254,12,34,126,268,804,1
12,24,81,103,254,15,34,62,84,201,0
22,34,110,127,799,67,69,81,105,432,1
5,80,81,103,166,12,13,21,31,246,1
13,67,81,104,111,54,56,145,254,518,1
3,81,98,203,432,14,80,127,145,555,1
3,21,150,164,799,12,64,99,127,804,1
34,163,236,254,267,59,83,268,497,498,0
2,9,22,166,201,4,80,110,111,143,0
13,76,114,157,555,42,59,85,164,268,1
5,89,103,126,145,21,58,59,79,432,0
14,68,79,91,110,34,64,115,246,555,1
4,22,34,133,950,15,56,61,126,555,1
13,67,421,555,800,60,76,126,202,223,0
4,15,117,799,950,13,64,89,150,161,1
34,64,81,84,432,5,43,61,202,950,1
12,34,42,121,131,3,44,50,107,203,0
64,68,69,412,523,34,80,117,221,804,1
14,42,64,127,267,13,72,126,711,799,1
34,142,200,412,523,4,39,80,236,902,1
3,64,77,80,115,2,13,202,234,555,1
22,30,34,166,412,4,21,39,203,526,1
81,103,150,555,799,15,34,64,142,526,0
1,43,81,127,799,42,83,202,432,950,1
61,80,84,117,804,34,72,81,105,150,1
43,64,98,105,523,5,22,34,61,117,0
43,78,81,126,127,54,103,117,202,799,1
78,111,112,126,804,12,34,236,777,799,0
12,126,142,203,235,1,32,34,202,799,0
68,115,157,203,518,69,78,268,555,950,0
5,34,432,804,893,42,58,103,254,518,0
126,131,234,236,267,13,14,24,34,81,0
51,245,432,777,897,43,142,150,254,804,1
11,131,150,201,236,54,80,145,526,711,0
5,34,81,126,427,43,59,61,110,222,0
24,43,91,99,804,67,101,126,222,526,1
54,105,238,555,804,34,56,61,81,517,0
34,43,80,81,711,64,77,105,111,202,1
51,58,59,84,432,80,111,150,268,804,0
9,22,64,555,910,31,34,51,432,517,0
1,34,81,83,950,15,43,80,84,110,0
9,27,110,202,555,5,13,39,51,432,0
24,110,112,126,432,13,22,80,147,893,0
