b1,b2,b3,b4,b5,r1,r2,r3,r4,r5,win
21,59,84,110,157,3,22,57,82,245,1
10,29,67,101,103,53,62,68,91,110,0
4,21,59,117,126,20,36,84,96,147,1
50,64,78,107,145,81,86,99,113,777,1
86,115,147,234,236,25,67,111,131,202,1
56,67,99,103,110,21,54,57,266,893,0
21,89,92,103,950,51,53,82,238,254,0
35,69,221,238,777,11,14,142,202,518,0
53,64,80,84,122,19,21,32,57,555,0
29,56,67,89,800,34,96,157,517,777,1
5,84,145,412,777,111,122,131,236,517,1
15,30,80,777,875,36,54,111,523,950,1
24,80,81,117,122,11,17,82,145,157,1
3,36,101,234,236,54,102,145,157,875,0
22,58,59,110,777,54,67,84,236,517,0
99,202,266,268,517,19,86,111,157,222,0
56,80,82,84,236,50,67,234,777,875,0
11,53,82,110,157,21,141,518,875,901,0
106,110,412,777,875,48,157,202,223,800,1
18,33,50,90,233,11,51,111,777,875,1
51,82,131,555,901,56,81,145,777,875,0
58,81,141,238,412,60,84,222,234,526,0
22,89,142,203,777,18,51,64,86,238,0
51,64,69,142,161,84,104,145,147,238,1
21,32,157,350,777,57,64,81,86,238,1
48,80,81,875,876,5,18,54,412,711,1
13,67,164,267,950,22,26,53,234,875,1
5,22,61,101,897,3,27,145,517,555,1
98,103,145,412,777,9,67,115,157,221,0
27,48,111,142,145,14,64,235,266,777,1
45,64,82,202,517,84,145,234,412,777,0
22,86,101,111,234,19,43,74,81,103,1
53,67,107,360,950,25,126,145,234,427,0
21,64,83,84,777,56,105,222,234,266,1
31,45,83,99,202,18,36,147,157,234,1
57,90,103,202,233,23,51,58,157,800,1
36,89,222,517,800,10,21,39,67,99,1
19,51,58,84,99,22,54,75,517,777,1
81,83,99,800,876,15,20,54,245,267,0
2,45,64,99,800,54,98,161,202,777,1
17,18,64,99,711,51,84,126,234,517,1
11,63,98,131,555,15,45,56,126,350,1
64,201,222,516,517,21,62,111,800,875,1
59,103,111,157,202,51,54,113,777,799,1
19,101,117,157,904,5,68,202,268,412,0
8,141,202,412,777,51,54,64,83,103,1
7,17,37,51,122,3,22,33,90,202,0
84,91,106,113,145,5,157,222,235,887,0
67,143,222,223,893,21,25,122,127,517,1
51,83,113,350,800,19,81,91,122,518,0
32,51,86,147,777,10,53,81,904,950,1
5,84,157,223,235,9,61,75,81,101,1
17,54,81,84,103,22,58,90,121,800,1
25,131,223,360,517,16,21,48,64,103,0
67,145,421,555,910,54,56,89,131,360,0
7,54,56,111,202,15,61,80,104,114,0
79,141,145,234,777,58,84,89,360,517,1
2,18,77,84,897,81,83,99,233,350,1
61,64,68,83,555,22,53,54,63,101,0
22,33,105,122,145,14,25,110,777,887,1
19,51,83,90,101,56,136,221,235,777,1
90,91,202,799,800,11,21,37,58,245,1
51,62,99,103,202,17,45,54,222,901,1
39,56,81,99,142,17,111,122,360,777,0
9,22,63,234,800,18,56,147,222,777,0
14,35,103,105,114,18,29,36,104,517,1
81,82,99,223,777,3,18,36,64,147,1
17,51,75,80,517,21,58,127,254,518,1
21,82,157,235,266,15,90,98,99,234,0
34,81,82,120,267,51,99,233,800,897,0
20,22,147,516,777,84,99,104,133,202,0
28,42,53,133,875,14,22,56,268,897,0
14,22,56,147,800,29,75,99,106,350,1
7,17,111,245,360,22,101,122,254,800,0
56,86,234,517,800,17,21,75,122,147,0
13,14,102,555,804,10,11,25,63,80,0
26,82,101,203,523,14,25,67,80,103,1
9,25,127,222,875,21,75,84,157,234,1
56,84,800,875,901,14,53,81,106,157,0
113,117,202,777,887,2,48,55,145,266,1
10,74,99,115,141,36,55,80,202,799,1
17,55,81,145,897,19,67,99,157,893,0
22,69,72,82,526,131,145,157,420,555,1
7,9,84,145,223,13,17,27,202,555,1
21,67,238,517,800,28,54,80,81,157,1
53,67,103,105,901,32,84,202,555,875,1
17,72,81,103,201,12,39,101,141,222,0
80,350,800,804,887,8,23,48,236,555,0
22,56,75,99,950,19,84,86,147,222,1
7,81,104,122,526,21,27,54,56,74,0
24,147,254,517,804,19,22,84,875,902,1
22,105,147,254,266,80,82,236,517,800,1
62,99,107,147,202,17,57,81,82,121,0
17,51,84,238,950,18,62,86,101,147,0
17,48,54,81,777,3,19,67,99,131,0
24,54,81,157,268,38,78,119,350,804,1
35,51,58,89,157,84,99,145,233,875,0
11,51,89,102,518,24,54,81,106,497,1
80,236,245,266,777,5,19,21,99,268,0
3,22,32,98,147,10,51,80,143,517,1
57,81,90,122,517,14,33,51,53,897,1
64,75,133,202,238,8,24,51,105,147,0
20,111,147,236,711,17,51,54,103,104,1
45,84,145,154,223,86,99,105,202,234,0
19,63,82,238,523,17,127,141,804,897,0
131,221,233,266,350,82,145,157,432,950,0
11,58,99,157,202,48,51,114,412,517,0
56,84,99,202,897,15,21,68,102,711,1
35,84,131,145,147,5,25,54,222,711,1
2,11,99,523,950,17,51,62,103,117,1
5,7,164,236,420,21,75,110,161,711,1
86,157,222,233,800,17,101,141,202,420,0
19,81,101,103,777,22,32,54,80,142,1
142,147,202,233,875,3,29,67,81,122,1
5,15,142,518,875,11,75,526,800,901,1
19,25,82,131,145,18,102,106,111,800,1
22,45,142,238,266,7,81,82,164,555,1
39,145,147,233,517,7,11,21,25,54,1
11,99,110,142,875,1,17,22,245,902,0
75,81,103,254,350,4,19,53,58,157,0
54,81,84,245,516,15,82,147,202,234,0
81,91,111,517,875,51,103,113,164,800,1
11,22,99,147,777,21,110,254,420,517,1
22,33,86,143,223,25,75,117,119,234,1
17,29,51,83,157,43,81,234,777,800,1
17,21,31,36,157,22,80,223,234,238,1
81,99,234,516,777,15,17,110,115,136,0
42,99,202,234,777,5,16,110,122,157,0
39,67,82,99,121,53,54,85,89,145,1
56,81,89,145,875,51,83,111,121,777,1
15,19,23,89,142,54,91,117,222,517,0
21,84,90,99,799,51,62,89,102,112,1
11,50,57,117,517,89,101,202,223,234,0
17,21,45,110,875,22,59,91,122,517,1
81,147,240,711,799,4,110,161,254,875,0
54,64,81,875,897,22,147,157,234,777,0
3,96,101,102,897,51,72,99,157,777,0
6,34,45,48,57,50,54,84,86,360,1
5,27,51,99,517,15,19,54,106,117,1
11,21,111,131,897,5,50,55,67,114,0
11,21,56,82,202,51,84,105,111,497,1
56,85,89,222,238,48,79,157,202,350,0
24,81,126,127,711,45,51,56,80,875,0
19,26,45,84,119,3,16,67,69,876,0
64,84,157,555,800,21,24,45,58,67,0
7,24,54,141,523,4,17,22,420,517,1
22,103,113,432,777,11,78,81,157,350,0
19,78,238,897,901,21,43,54,82,106,0
16,22,82,166,950,14,19,21,51,110,1
24,56,145,517,777,80,117,254,421,523,1
22,24,131,157,432,5,86,202,517,800,0
25,56,84,105,222,15,99,157,234,875,1
22,39,61,350,517,50,51,86,89,800,1
11,21,67,518,950,45,54,64,81,117,1
22,54,157,223,254,5,35,81,84,799,0
21,56,81,91,238,36,51,202,234,950,0
